Datetime,Z_m+,DO
2019-04-17,1.0,15.374891192727274
2019-04-17,1.5,15.371986939090911
2019-04-17,2.0,15.371018854545458
2019-04-17,2.5,15.36521034727273
2019-04-17,3.0,15.358433755454545
2019-04-17,3.5,15.351657163636366
2019-04-17,4.0,15.348752910000002
2019-04-17,4.5,15.335199726363639
2019-04-17,5.0,15.338103980000003
2019-04-17,5.5,15.331327388181819
2019-04-17,6.0,15.325518880909094
2019-04-17,6.5,15.319710373636367
2019-04-17,7.0,15.310997612727276
2019-04-17,7.5,15.305189105454549
2019-04-17,8.0,15.291635921818182
2019-04-17,8.5,15.286795499090912
2019-04-17,9.0,15.278082738181821
2019-04-17,9.5,15.268401892727276
2019-04-17,10.0,15.26356147
2019-04-17,10.5,15.259689131818185
2019-04-17,11.0,15.257752962727274
2019-04-17,11.5,15.253880624545458
2019-04-17,12.0,15.247104032727275
2019-04-17,12.5,15.242263610000002
2019-04-17,13.0,15.241295525454548
2019-04-17,13.5,15.242263610000002
2019-04-17,14.0,15.23935935636364
2019-04-17,14.5,15.241295525454548
2019-04-17,15.0,15.236455102727273
2019-04-17,15.5,15.236455102727273
2019-04-17,16.0,15.23355084909091
2019-04-17,16.5,15.234518933636364
2019-04-17,17.0,15.234518933636364
2019-04-18,1.0,15.321243174166668
2019-04-18,1.5,15.314143887500002
2019-04-18,2.0,15.319024647083335
2019-04-18,2.5,15.308375717083337
2019-04-18,3.0,15.30748830625
2019-04-18,3.5,15.299057903333335
2019-04-18,4.0,15.295508260000002
2019-04-18,4.5,15.292402322083337
2019-04-18,5.0,15.287521562500002
2019-04-18,5.5,15.282197097500001
2019-04-18,6.0,15.277760043333334
2019-04-18,6.5,15.269329640416668
2019-04-18,7.0,15.26001182666667
2019-04-18,7.5,15.252025129166668
2019-04-18,8.0,15.243151020833336
2019-04-18,8.5,15.236495439583337
2019-04-18,9.0,15.228508742083337
2019-04-18,9.5,15.222296866250002
2019-04-18,10.0,15.218747222916669
2019-04-18,10.5,15.216528695833334
2019-04-18,11.0,15.212979052500001
2019-04-18,11.5,15.210316820000003
2019-04-18,12.0,15.204548649583336
2019-04-18,12.5,15.200999006250003
2019-04-18,13.0,15.196118246666668
2019-04-18,13.5,15.194343425000001
2019-04-18,14.0,15.190793781666668
2019-04-18,14.5,15.190350076250002
2019-04-18,15.0,15.187687843750002
2019-04-18,15.5,15.189462665416668
2019-04-18,16.0,15.185913022083335
2019-04-18,16.5,15.180144851666668
2019-04-18,17.0,15.174376681250001
2019-04-19,1.0,15.300389019583337
2019-04-19,1.5,15.288408973333334
2019-04-19,2.0,15.287965267916668
2019-04-19,2.5,15.280865981250003
2019-04-19,3.0,15.268442229583336
2019-04-19,3.5,15.267554818750003
2019-04-19,4.0,15.256905888750001
2019-04-19,4.5,15.25291254
2019-04-19,5.0,15.243594726250002
2019-04-19,5.5,15.236495439583337
2019-04-19,6.0,15.227177625833335
2019-04-19,6.5,15.217859812083336
2019-04-19,7.0,15.207210882083334
2019-04-19,7.5,15.20277382791667
2019-04-19,8.0,15.195230835833335
2019-04-19,8.5,15.187687843750002
2019-04-19,9.0,15.17615150291667
2019-04-19,9.5,15.169939627083336
2019-04-19,10.0,15.162840340416668
2019-04-19,10.5,15.164615162083335
2019-04-19,11.0,15.157959580833333
2019-04-19,11.5,15.155297348333335
2019-04-19,12.0,15.15086029416667
2019-04-19,12.5,15.146866945416669
2019-04-19,13.0,15.141098775000001
2019-04-19,13.5,15.137992837083335
2019-04-19,14.0,15.135330604583336
2019-04-19,14.5,15.132668372083334
2019-04-19,15.0,15.127787612500002
2019-04-19,15.5,15.126012790833336
2019-04-19,16.0,15.123794263750002
2019-04-19,16.5,15.118469798750002
2019-04-19,17.0,15.114476450000003
2019-04-20,1.0,15.240932493750002
2019-04-20,1.5,15.229396152916669
2019-04-20,2.0,15.224515393333334
2019-04-20,2.5,15.21741610666667
2019-04-20,3.0,15.21741610666667
2019-04-20,3.5,15.213422757916668
2019-04-20,4.0,15.220522044583335
2019-04-20,4.5,15.205436060416668
2019-04-20,5.0,15.195674541250002
2019-04-20,5.5,15.190350076250002
2019-04-20,6.0,15.178370030000004
2019-04-20,6.5,15.175707797500003
2019-04-20,7.0,15.167721100000003
2019-04-20,7.5,15.160621813333336
2019-04-20,8.0,15.151747705000002
2019-04-20,8.5,15.149529177916667
2019-04-20,9.0,15.140655069583335
2019-04-20,9.5,15.129562434166669
2019-04-20,10.0,15.129118728750003
2019-04-20,10.5,15.123350558333335
2019-04-20,11.0,15.114032744583335
2019-04-20,11.5,15.104714930833335
2019-04-20,12.0,15.102496403750003
2019-04-20,12.5,15.098946760416668
2019-04-20,13.0,15.093622295416669
2019-04-20,13.5,15.088741535833334
2019-04-20,14.0,15.08696671416667
2019-04-20,14.5,15.080311132916668
2019-04-20,15.0,15.07898001666667
2019-04-20,15.5,15.05723845125
2019-04-20,16.0,15.04303987791667
2019-04-20,16.5,15.018636080000002
2019-04-20,17.0,14.987576700833335
2019-04-21,1.0,15.050139164583333
2019-04-21,1.5,15.042152467083337
2019-04-21,2.0,15.040377645416669
2019-04-21,2.5,15.037271707500002
2019-04-21,3.0,15.02839759916667
2019-04-21,3.5,15.024847955833334
2019-04-21,4.0,15.02041090166667
2019-04-21,4.5,15.01774866916667
2019-04-21,5.0,15.015973847500002
2019-04-21,5.5,15.009318266250004
2019-04-21,6.0,15.004437506666669
2019-04-21,6.5,15.004881212083335
2019-04-21,7.0,14.99778192541667
2019-04-21,7.5,14.991126344166668
2019-04-21,8.0,14.986245584583335
2019-04-21,8.5,14.980921119583334
2019-04-21,9.0,14.974265538333334
2019-04-21,9.5,14.964504019166668
2019-04-21,10.0,14.957848437916669
2019-04-21,10.5,14.963172902916668
2019-04-21,11.0,14.948530624166668
2019-04-21,11.5,14.938769105000002
2019-04-21,12.0,14.93521946166667
2019-04-21,12.5,14.92856388041667
2019-04-21,13.0,14.925901647916671
2019-04-21,13.5,14.924126826250001
2019-04-21,14.0,14.926345353333337
